mega_stone,winrate,usage_percent
Charizardite Y,51.19,19.3
Floettite,53.76,17.24
Froslassite,50.7,9.16
Tyranitarite,49.46,9.07
Aerodactylite,53.52,6.77
Gengarite,47.74,6.59
Delphoxite,51.62,6.46
Dragoninite,49.86,6.35
Meganiumite,48.02,5.61
Scizorite,53.66,5.47
Venusaurite,51.52,4.59
Gardevoirite,49.34,4.22
Kangaskhanite,49.77,3.86
Scovillainite,52.18,3.85
Glimmoranite,48.18,3.3
Charizardite X,48.32,3.08
Blastoisinite,47.39,2.72
Golurkite,39.49,1.68
Aggronite,44.31,1.48
Lopunnite,46.8,1.46
Crabominite,43.68,1.34
Starminite,46.18,1.3
Gyaradosite,45.42,1.29
Garchompite,44.16,1.26
Cameruptite,45.36,1.1
Lucarionite,43.96,1.08
Skarmorite,48.13,0.97
Manectite,49.61,0.95
Drampanite,40.6,0.84
Feraligite,42.79,0.66
Hawluchanite,40.63,0.52
Greninjite,35.62,0.51
Chandelurite,43.09,0.5
Ampharosite,40.21,0.41
Chesnaughtite,50.68,0.41
Galladite,43.02,0.41
Chimechite,45.93,0.3
Heracronite,45.06,0.28
Excadrite,40.12,0.28
Clefablite,44.19,0.28
Abomasite,51.08,0.28
Steelixite,40.63,0.27
Alakazite,32.65,0.24
Slowbronite,39.85,0.2
Altarianite,35.16,0.18
Banettite,36.36,0.16
Beedrillite,35.45,0.16
Medichamite,46.36,0.16
Meowsticite,37.7,0.16
Sharpedonite,42.47,0.16
Victreebelite,42.31,0.14
Emboarite,42.04,0.12
Pidgeotite,38.14,0.1
Houndoominite,33.33,0.1
Pinsirite,46.15,0.08
