categoria,grupo,cor,winrate
Mega Charizard Y,Charizard Y & Counters,#FF5733,51.19
Megas Pedra,Charizard Y & Counters,#C5B358,50.31
Megas Elétrico,Charizard Y & Counters,#FFD700,47.05
Megas Água,Charizard Y & Counters,#3399FF,45.16
Mega Floette,Mega Floette & Counters,#FF69B4,53.75
Megas Veneno,Mega Floette & Counters,#A020F0,48.94
Megas Aço,Mega Floette & Counters,#B8B8B8,50.02
Mega Delphox,Mega Delphox & Counters,#E67E22,51.62
Megas Pedra,Mega Delphox & Counters,#C5B358,50.31
Megas Água,Mega Delphox & Counters,#3399FF,45.16
Megas Fantasma,Mega Delphox & Counters,#705898,48.24
Megas Noturno,Mega Delphox & Counters,#705848,48.42
